"#"	"TYPE"	"CITATION"	"LINE NUMBER"	"FUNCTION"
25	"Age: youth"	"‘Youthe ful smal reward hath to goodnesse,/ And peril dredith he noon, woot I wel;/ Al his devocion and holynesse/ At the taverne is, as for the moost del;/ To Bachus signe and to the levesel/ His youthe him halith, and whan it him happith/ To chirche goon, of nycetee he clappith./ / ""The cause why men oghten thidir goon,/ Nat cause can his wilde steerissh heed/ To folwen it. Also, boote is it noon/ To telle it him, for thogh men sowen seed/ Of vertu, in a yong man it is deed;/ As blyve his rebel goost it mortifieth./ Al thyng sauf folie in a yong man dieth./ / ""Whan I was yong, I was ful rechelees,/ Prowd, nyce, and riotous for the maistrie,/ And among othir, consciencelees./ By that sette I nat the worth of a flie;/ And of hem hauntid I the conpaignie/ That wente on pilgrimage to taverne,/ Which before unthrift berith the lanterne.’"	"L. 596-616"	"Youth’s follies."
26	"Moment  in youth: abstract"	"‘pleide at dees whil the nyght wolde endure’"	"L. 627"	"Subjective: In youth played with dice, night-time subjective and judgemental."
27	"Duration"	"‘I spende an hundred mark by yeer’"	"L. 645"	"Relative marker, used by Old Man to indicate length of time misspent in youth."
28	"Duration"	"‘And yee res fele I continued so’"	"L. 655"	"Comparative marker, used by Old Man to emphasise duration he was uncommitted (no wives or girlfriends)."
29	"Temporality"	"‘O Lord, this world unstable is and unsad;/ This world honoureth nat mannes persone/ For himself, sone, but for good alone/ Ful sooth fynde I the word of Salomon, /That to moneie obeien alle thynges’"	"L. 705-709"	"Old Man’s lament on worldly goods, recurring theme of world’s mutability invoked."
30	"Duration"	"‘A! Lord almighty, in my lyves space’"	"L. 740"	"Old Man asks for repentance, time measured as space."
31	"Speed time passing"	"‘I cowde of youthe han talkid more and told / Than I have doon, but the day passith swythe’"	"L. 743-744"	"Old Man’s closing remarks. Moved from large-scale generalisations on youth and old age to focus on the particular passing for this one individual: frames the narrative."
32	"Causal connection "	"‘I preye yow and byseeche, / What I first to yow spak, be nat displesid’"	"L. 753-754"	"Hoccleve-narrator begs Old Man to pardon him for not listening earlier. Refers and links back to previous part of the narrative."
33	"Age: old"	"‘Of love which to agid folk yee have / And myn, althogh yee deeme I hem deprave. //For if that I the soothe shal confesse, / The lak of olde mennes cherisshynge/ Is cause and ground of al myn hevynesse’/"	"L. 790-793 "	"Hoccleve-narrator says he loves old age and laments he lacks any nurturing from elderly."
34	"Quantified duration"	"‘have twneti yeer / And foure come Estren, and that is neer’"	"L. 804-805"	"Hoccleve-narrator declares he has been at the privy seal office for 24 years. Increased precision of duration links to focus on the individual (rather than the personified abstract)."
35	"Duration"	"‘that is fair tyme; / The tokne is good of thy continuance’"	"L. 806-807"	"Old Man remarks that Hoccleve-narrator has endurance."
36	"Future and different time dimensions (of fictional narrative and of real author)"	"‘But how I shal be gyed / Heeraftir, whan that I no longer serve --/ This hevyeth me so that I wel ny sterve/ ...Now God helpe al, for but he me socoure,/ My future yeeris lyk been to be soure’ "	"L. 831-833, 839-840 "	"Query as to how Hoccleve will get paid in old age ...now time of the author rather than of the narrator, but within the narrative creating relationship between poet and prince"
37	"Temporality of world"	"‘Ther preeve I shal the mutabilitee/ Of this wrechhid worlds affection,/ Which, whan that youthe is past, begynneth flee’"	"L. 848-850 "	"Comment that when he doesn’t work he loses all. "
38	"Future prediction"	"‘I drawe shal withyn a yeeres fewe./ Upon this woful thought I hake and hewe/ And muse so that unto lyte I madde,/ And lever die than liven I hadde’"	"L. 928-931 "	"Feeble soldiers show Hoccleve-narrator what he may be soon. A prognostication (of sorts)."
39	"Age: old abstract"	"‘Two parties of my lyf and mochil more/ I seur am past been – I ne doute it noght;/ And if that I sholde in my yeeres hore’"	"L. 946-948"	"Hoccleve-narrator fears he won’t get his dues when he is old."
40	"Age schemes"	"‘with him stroglid nevere in the grennesse/ Of youthe – that mutacion and chaunge/ Anothir day me seeme sholde al straunge’ "	"L. 964 - 966 "	"Hoccleve narrator contemplates on having had no struggles in youth and fears this is temporary, fears destitution in old age."
41	"Duration: quantified"	"‘What man that three and twenti yeer and more/ In wrytynge hath continued, as have I’"	"L. 988-989 "	"Duration of being a writer, or ‘artificer’ (L. 1009)."
42	"Demarcation of past and present"	"‘...but now adayes men/ Yerne and desyrn aftir muk so sore/ That they good fame han leid a water yore’"	"L. 1123-1125 "	"Old Man uses past to unfavourably compare present standards of virtues, especially virtue of poverty."
43	"Fortune"	"‘A potter was my fadir .../ Fortunes variaunce I drede alway;/ Right as shee made me to clymbe on highte,/ Sodeynly so shee may me make alighte’"	"L. 1136-1141"	"Wheel of Fortune, mutability invoked in image of pottery making."
44	"Moment (time measured as space)"	"‘Sires, it is tyme that we hens hie ... withynne a litil space/ Aftir they were agoon’/ "	"L. 1274, 1277-1278 "	"Ambrose desires at a propitious time to leave Rome and the rich are killed."
45	"Temporal world"	"‘thow art here in this world transitorie’"	"L. 1292"	"Worldly life is a cherry-fair."
46	"Named moment: Judgement Day"	"‘O day shal come .../ Whan the day comth of ire and of vengeance’"	"L. 1311, 1314"	"Richness is poverty and poverty richness, as evidenced on Judgement Day. There is repetition of the fateful day, creating an accumulative sense of impending moment."
47	"Abstract moment"	"‘What thow God hast agilt in tyme past’"	"L. 1399"	"Request to allow Hoccleve-narrator to correct his past faults. Abstract reference to past creates a general or ‘universal’ narrative context (but still as determined within timescale of the individual narrator, who is serving as Everyman)."
48	"Season"	"‘…al out of sesoun/ They knyt been that into wedlock so sterte’"	"L. 1648-1649"	"Rich marry off their young for money, not love. This is presented as being out of accord with the natural world of the seasons, ie nature and the natural order."
49	"Quantified unit"	"‘I every day heere at the Carmes messe,/ It faillith nat, aboute the hour of sevene’"	"L. 2007-2008 "	"Hoccleve and Old Man will meet soon (Old Man is always at Whitefriars at 7am). This precision in place and time follows L. 1926-7, where we assured that the greatest desire in writing is truth, not flattery.  This signifies a shift and change: the text-proper is to start. The time referent acts as a shaping device of the narrative structure."
50	"Age state: childishness and Past authority"	"‘...of Gyles of Regiment/Of Princes, plotmeel thynke I to translate/ ...With my childhede’"	"L. 2052-2053, 2058 "	"Hoccleve-narrator names his source (as Egidius Romanus) and invokes the modesty topos, lamenting his immaturity as a writer in contrast to his past authoritative source."
51	"Precise moment (within narrative context of prince’s time)"	"‘…whan yee been in chamber at eeve,/They been good for to dryve foorth the nyght;/ They shal nat harme if they be herd aright’"	"L. 2140-2142 "	"Hoccleve-narrator tells the prince the worst that his Regiment (the text-proper that is to follow) can do is give him something to pass his time at night. "
52	"Abstract past authority"	"‘Ones there was a kyng, as I have rad’"	"L. 2171"	"Lesson: faith must be kept by kings. It is not important who the king of the past was or when, it is that a causal link is being created between poet’s function and prince’s function."
53	"Abstract past authority"	"‘In name of Jhesu, wirke after the avys/ That I compile out of thise auctours olde’"	"L. 2187-2188 "	"Function of historicity highlighted again, at the end of this first section. It acts as a kind of narrative punctuation."
54	"Age: negatives of youth and old age"	"‘We Romans that they han in prison loke/Been but yong froth, unlearned in bataille,/And othir folk with age ybroke’"	"L. 2269-2271 "	"Roman prisoners are not worth exchanging with Carthaginian ones due to age, either too young and inexperienced or broken with old age. "
55	"Age: middle age"	"‘Your prisoners ben mighty men and wyse,/And folk in armes preeved at devyse’"	"L. 2274-2275 "	"Middle age, in effect, becomes the positive force."
56	"Causal"	"‘I trowe now adayes, thogh men soghte,/His heir ful hard were in this land to fynde;/Men list nat so ferfoorth to trouthe hem bynde’"	"L. 2287-2289"	"The Englishmen do not like Regulus, who died to keep his oath. The time referent here creates a link between the tale of the past and the point on reflecting on it in the present."
57	"Abstract moment"	"‘Valerie tellith how with greet array/ King Alisandre and his oost on a day’"	"L. 2300-2301 "	"Alexander once besieged Lampsacus, his old master. Day unit abstract, only needed to create a new narrative setting."
58	"Abstract moment"	"‘What dooth me this maistir but on a day’"	"L. 2591"	"Moves from moral discussions about justice to a past example, talking of the children as hostages. Abstract day used for narrative frame."
59	"Abstract past and interplays of narrative times"	"‘They diden so, but what was folewynge,/ Nat have I red, wherfore I can nat seye./ But this just duke, as by my supposynge,/ Was to hem swich in wil and in wirkynge/ That he hem qwitte so as mighte hem qweeme./ What sholde I elles of swich a lord deeme?// Of Lancastre good Duke Henri also,/ Whos justice is writen and auctorysid -/ Why sholde I nat thee rekne amonges tho/ That in hir tyme han justice excercysid?/ Yit that vertu oonly nat hath souffysid/ To thee, but al that longith to knyghthode/ Was inned in thyn excellent manhode.// I rede also how that, I rede also how that…’"	"L. 2640-2666 (2641-2655 shown)"	"Frequent references such as those listed here across these 26 lines; Mixing past reporting with direct speech. Overall effect is to emphasize Hoccleve as a narrator/ reporter."
60	"Subjective moments"	"‘This leche unto Fabrices hous hy nyght/ As pryvely as that he cowde’"	"L. 2661-2662 "	"Fabricus plans to poison Porus ... ill deeds happen at night."
61	"Abstract date"	"‘Ther was a lawe ymaad upon a tyme/ At Rome, by the consules assent’"	"L. 2731-2732 "	"A law was once made (precise date not significant) when the Roman consuls agreed that adulterers should lose their eyes."
62	"Abstract period"	"‘an emperor in dayes olde’"	"L. 2857"	"Time and person both abstract, as lesson is a universal one."
63	"Abstract date"	"‘Whilom ther was a tyrant despitous’"	"L. 3004"	"Abstract time and identity, to reinforce universality of moral."
64	"Abstract moment"	"‘in a tyme in the feeld with his hoost’"	"L. 3250"	"Abstract time and place of Alexander’s meeting in a field. Again time indicator a tool to move narrative along."
65	"Age: old"	"‘An aged knight of his, for verray cold,/His lyfly might yloren hadde almost ...olde knight .../ Distressed knyghtes’"	"L. 3251-3252, 3256, 3261."	"This is not a description of Alexander’s knight, but rather a description of Alexander’s worthiness, as evidenced by how the natural negative and physical indicators of old age are protected by Alexander."
66	"Age: youth"	"‘a yong doghtir hadde, a fair may’"	"L. 3427"	"Pisistaris has a daughter, positive beauty of youth praised."
67	"Sequence"	"‘The nexte day aftir…’"	"L. 3557"	"2 sons wanted to kill Arispus, but the day afterwards Arispus repents."
68	"Age: precisely quantified"	"‘Whan he was twenty yeer and four of age,/ And by prowess and by manhode and might’"	"L. 3677"	"Africanus goes to Scipio when he is 24 years old for a test of his chastity."
69	"Subjective moment"	"‘By nyghtirtale he slayn was by King Darie’"	"L. 3849"	"Drunkeness caused Belshazzar his life: ill deeds happen at night-time."
70	"Duration"	"‘Of fool largesse wole I talke a space’"	"L. 4180"	"Start of John of Canace’s trickery of his daughters. Time indicated as a measurement of space."
71	"Duration: precise"	"‘no loner ne more/ Than days thre, and he wolde it restore/ At his day’"	"L. 4211-4213"	"A contract set up for the lending of his money: a precise time duration is the marker of the terms."
72	"Moment"	"‘And on the morwe’"	"L. 4215"	"Abstract in expression but precise within narrative context, as a means to mark an alternation in setting, progressing the narrative."
73	"Subjective moment"	"Repeated references to the ‘nyght’"	"L. 4221-4228"	"Ill deeds happen at night-time. Repeated references build anticipation within the terms of the 3 day framework."
74	"Propitious moment"	"‘on the morwe at the brood day light’"	"L. 4238"	"Moment of truth: light floods in."
75	"Past"	"‘yistirday’"	"L. 4275"	"Used to locate reflections within moment of previous narrative sequence."
76	"Duration"	"‘Aftir this day .../ Til the day cam of the fadres dvyng’"	"L. 4313-4314 "	"A decisive new stage marked by this opening marker and closing marker of duration of John Canace’s life-time."
77	"Season"	"‘In his welthe but a litel sesoun’"	"L. 4575"	"Warning that a king may destroy his subjects by avarice. The reference to seasons reinforces the temporality of worldly signifiers and riches."
78	"Propitious moment"	"‘That man yborn is in a blessid hour’"	"L. 4684"	"Universal lesson: he who helps the unfortunate  is blessed from birth."
79	"Prudence"	"‘Of thynes past and been and that shul be;/ The ende seeth and eek meswrith she’"	"L. 4767"	"Universal lesson: the omnipotence and prudence of God."
80	"Age: youth and old age"	"‘Cheesith men eek of old experience -/ Hir wit and intellect is glorious;/ Of hir conseil holsum is the sentence./ The olde mannes reed is fructuous;/ Waar of yong conseil, it is perillous./ Roboas fond it so whan he forsook/ Old conseil and unto yong reed him took…’"	"L. 4943-4963 (shown through 4949) "	"An extensive commentary on the relationships between these two states, returning us to the nature of the opening dialogues in the prologue. L. 4962-4963 especially significant ... summarizes whole approach of let age rule and youth follow."
81	"Abstract moment"	"‘In the long yeer been werk-dayes ynowe,/ If they be wel despent for to entende/ To conseiles.’"	"L. 4971-4973 "	"Lessons applicable in all liturgical and secular times"
82	"Age: quantified"	"‘Fro tyme eek Cryst was twelve yeer of age/ Unto thritti, He with His modir ay’"	"L. 5167-5168 "	"Duration of Christ’s life precisely quantified."
